                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87098,                 2.9405,                 1.2164,                0.00333,                      1,                0.05189,                0.01043,                0.76192,                 3.7702,                 1.4142,                  6e-05,                  6e-05,                  6e-05
                      2,                0.43483,                 2.1983,                0.96982,                0.00333,                      1,                  0.995,                0.96976,                0.32716,                 2.8485,                0.85215,             0.00013861,             0.00013861,             0.00013861
                      3,                0.43298,                  1.295,                0.94065,                0.99369,                      1,                  0.995,                 0.8837,                  0.387,                 2.4016,                0.83119,             0.00021564,             0.00021564,             0.00021564
                      4,                0.47162,                0.99019,                0.96415,                0.00333,                      1,                  0.995,                0.92029,                0.40661,                 2.6395,                0.83799,             0.00029109,             0.00029109,             0.00029109
                      5,                0.46218,                 1.0432,                0.93571,                0.00513,                      1,                  0.995,                0.90552,                0.50837,                 2.8112,                0.87073,             0.00036495,             0.00036495,             0.00036495
                      6,                0.45206,                0.87294,                0.92815,                      1,                0.99237,                  0.995,                0.93076,                0.37267,                 2.1986,                0.82836,             0.00043723,             0.00043723,             0.00043723
                      7,                0.47706,                0.89059,                 0.9398,                0.98855,                      1,                  0.995,                0.97064,                0.30734,                 2.1176,                0.82586,             0.00050792,             0.00050792,             0.00050792
                      8,                0.44188,                0.93464,                0.91546,                0.99397,                      1,                  0.995,                0.97711,                 0.3168,                  2.316,                0.82904,             0.00057703,             0.00057703,             0.00057703
                      9,                0.46268,                0.86627,                0.94231,                0.98779,                      1,                  0.995,                0.95275,                 0.3596,                 1.9786,                0.83031,             0.00064456,             0.00064456,             0.00064456
                     10,                0.53928,                0.97511,                0.99376,                0.98485,                      1,                  0.995,                0.90335,                0.40428,                 2.1445,                0.84361,              0.0007105,              0.0007105,              0.0007105
                     11,                0.52009,                0.92414,                0.92753,                0.97943,                      1,                  0.995,                0.92194,                0.43068,                 2.0139,                0.84974,             0.00077486,             0.00077486,             0.00077486
                     12,                0.44447,                0.83984,                0.89176,                0.94927,                0.93612,                0.99024,                0.90131,                0.41006,                 2.0742,                0.83576,             0.00083763,             0.00083763,             0.00083763
                     13,                0.46611,                0.84983,                0.91065,                0.98534,                      1,                  0.995,                0.88904,                0.51526,                  2.016,                0.86287,             0.00089882,             0.00089882,             0.00089882
                     14,                0.54624,                0.83283,                 0.9977,                0.99242,                      1,                  0.995,                0.86509,                0.60272,                 1.7919,                0.88621,             0.00095843,             0.00095843,             0.00095843
                     15,                0.60225,                0.91024,                  1.018,                 0.9692,                    0.9,                0.98598,                0.92779,                0.38013,                 1.7861,                0.83052,              0.0010165,              0.0010165,              0.0010165
                     16,                0.52789,                0.82861,                0.95862,                 0.9739,                    0.8,                0.95382,                0.92673,                0.40743,                 1.8649,                0.83207,              0.0010729,              0.0010729,              0.0010729
                     17,                0.49263,                0.77254,                0.91652,                      1,                0.73102,                0.90942,                0.78476,                0.62983,                 1.8686,                0.94175,              0.0011277,              0.0011277,              0.0011277
                     18,                0.59819,                0.86063,                0.99607,                0.84708,                    0.7,                0.85418,                0.74529,                0.83691,                 2.3272,                 1.0479,               0.001181,               0.001181,               0.001181
                     19,                0.54003,                0.87205,                 1.0104,                0.87477,                    0.8,                0.92539,                0.76164,                 0.8297,                 2.0338,                 0.9792,              0.0012327,              0.0012327,              0.0012327
                     20,                0.52809,                0.84671,                0.93584,                0.94827,                0.91704,                0.98548,                0.84361,                0.67575,                 1.8651,                0.92346,              0.0012828,              0.0012828,              0.0012828
                     21,                0.56713,                0.82746,                0.95042,                0.99677,                      1,                  0.995,                0.83174,                0.67268,                 1.1452,                0.91314,              0.0013313,              0.0013313,              0.0013313
                     22,                0.50632,                0.76271,                0.93728,                0.99631,                      1,                  0.995,                 0.8853,                0.65061,                 1.1529,                0.89642,              0.0013783,              0.0013783,              0.0013783
                     23,                0.49045,                0.72735,                 0.9121,                0.99579,                      1,                  0.995,                0.89227,                0.49452,                 1.0795,                0.85388,              0.0014236,              0.0014236,              0.0014236
